id;sexo;edad;provincia;hab;hijos;clase_social;situacion_laboral;educacion;prob_participacion_electoral;prob_voto_partido;partido_afin_ideologicamente;voto_partidario_elecciones_anteriores;escala_iz_der;candidato_edad_ideal;candidato_clasesocial_ideal;candidato_experiencialaboral_ideal;candidato_carreraprofesional_ideal;canditado_honrado;canditado_preparado;canditado_experimentado;canditado_empático;canditado_inteligente;candidato_valiente;candidato_carismatico;candidato_respetuoso;candidato_bueno;candidato_determinado;candidato_egoista;candidato_intransigente;candidato_perezoso;candidato_soberbio;candidato_frívolo;candidato_tranformador;candidato_autoritario;candidato_conciliador;candidato_común;candidato_cercano;candidato_confiable;candidato_cuidadoso;candidato_económico
68;Hombre;45-54;Palmas, Las;Más de 10.000;Sí, con uno/a de 13 a 17 años;Media;Trabaja;Segundo grado, primer ciclo y menos;6;Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…);Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…);Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En;5;Más de 60 años;De clase media-alta o alta;Con experiencia laboral en el sector público;Con una carrera profesional fuera de la política;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz
69;Hombre;55-64;Girona;Más de 10.000;Sí, con uno/a de 18 años o más;Alta / Media Alta;Trabaja;Segundo grado, segundo ciclo;6;No lo sé;Ninguno;JxCAT – Junts;5;Me es indiferente;Me es indiferente;Con experiencia laboral en el sector privado;Con una carrera profesional fuera de la política;Pedro Sánchez;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Alberto Núñez Feijóo;Yolanda Díaz;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Alberto Núñez Feijóo
70;Mujer;35-44;Málaga;Más de 10.000;Sí, con uno/a de 0 a 8 años;Media baja / Baja;Parado;Segundo grado, segundo ciclo;5;No lo sé;Ninguno;No voté;5;Me es indiferente;Me es indiferente;Me es indiferente;Con una carrera profesional dentro de la política;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz
71;Mujer;45-54;Barcelona;Más de 10.000;Sí, con uno/a de 18 años o más;Media;Trabaja;Segundo grado, segundo ciclo;10 con toda seguridad, iría a votar;Vox;Vox;Vox;9;Menos de 60 años;De clase media-baja o baja;Con experiencia laboral en el sector privado;Con una carrera profesional fuera de la política;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Santiago Abascal;Alberto Núñez Feijóo;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal
72;Mujer;45-54;Madrid;Más de 10.000;Sí, con uno/a de 9 a 12 años;Alta / Media Alta;Trabaja;Segundo grado, segundo ciclo;0 con toda seguridad, NO iría a votar;No votaré;Ninguno;No voté;5;Menos de 60 años;De clase media-baja o baja;Con experiencia laboral en el sector público;Con una carrera profesional dentro de la política;Yolanda Díaz;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Alberto Núñez Feijóo
73;Mujer;35-44;Sevilla;Menos de 10.000;Sí, con uno/a de 0 a 8 años;Media baja / Baja;Parado;Segundo grado, segundo ciclo;5;No lo sé;No lo sé;Voté en blanco;No lo sé;Me es indiferente;De clase media-baja o baja;Con experiencia laboral en el sector público;Con una carrera profesional fuera de la política;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Santiago Abascal;Yolanda Díaz;Pedro Sánchez;Alberto Núñez Feijóo;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Yolanda Díaz;Santiago Abascal;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz
74;Mujer;45-54;Salamanca;Más de 10.000;Sí, con uno/a de 18 años o más;Alta / Media Alta;Trabaja;Tercer grado, segundo ciclo y más;8;PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);4;Menos de 60 años;De clase media-baja o baja;Con experiencia laboral en el sector privado;Con una carrera profesional dentro de la política;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez
75;Mujer;65+;Madrid;Más de 10.000;Sí, con uno/a de 18 años o más;Alta / Media Alta;Pensionista;Tercer grado, primer ciclo;10 con toda seguridad, iría a votar;No lo sé;Ninguno;PP (Partido Popular);5;Más de 60 años;Me es indiferente;Con experiencia laboral en el sector privado;Con una carrera profesional dentro de la política;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Santiago Abascal;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo;Pedro Sánchez;Santiago Abascal;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Santiago Abascal
76;Hombre;35-44;Bizkaia;Más de 10.000;Sí, con uno/a de 9 a 12 años;Media baja / Baja;Trabaja;Tercer grado, primer ciclo;8;EAJ - PNV;EAJ - PNV;EAJ – PNV;8;Menos de 60 años;De clase media-baja o baja;Con experiencia laboral en el sector privado;Con una carrera profesional dentro de la política;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz
77;Mujer;65+;Almería;Más de 10.000;Sí, con uno/a de 18 años o más;Media;Trabaja;Segundo grado, segundo ciclo;10 con toda seguridad, iría a votar;Vox;Vox;PP (Partido Popular);8;Me es indiferente;Me es indiferente;Me es indiferente;Con una carrera profesional dentro de la política;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal
78;Mujer;45-54;Valencia/València;Más de 10.000;Sí, con uno/a de 0 a 8 años;Alta / Media Alta;Trabaja;Tercer grado, primer ciclo;8;PP (Partido Popular);PP (Partido Popular);Ciudadanos;5;Me es indiferente;Me es indiferente;Me es indiferente;Con una carrera profesional dentro de la política;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo;Pedro Sánchez;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo
79;Hombre;35-44;Madrid;Más de 10.000;No convivo con ningún/a hijo/a;Alta / Media Alta;Trabaja;Segundo grado, primer ciclo y menos;6;Otro;Otro;PSOE (Partido Socialista Obrero Español);7;Menos de 60 años;De clase media-alta o alta;Con experiencia laboral en el sector público;Con una carrera profesional fuera de la política;Santiago Abascal;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Santiago Abascal
80;Hombre;65+;Valencia/València;Menos de 10.000;No convivo con ningún/a hijo/a;Media;Pensionista;Tercer grado, primer ciclo;10 con toda seguridad, iría a votar;Vox;PP (Partido Popular);PP (Partido Popular);6;Me es indiferente;De clase media-alta o alta;Con experiencia laboral en el sector privado;Con una carrera profesional fuera de la política;Santiago Abascal;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Santiago Abascal
81;Hombre;25-34;Valencia/València;Más de 10.000;Sí, con uno/a de 9 a 12 años;Media;Trabaja;Segundo grado, segundo ciclo;10 con toda seguridad, iría a votar;PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);3;Me es indiferente;De clase media-baja o baja;Con experiencia laboral en el sector privado;Me es indiferente;Yolanda Díaz;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez
82;Hombre;35-44;Tarragona;Más de 10.000;Sí, con uno/a de 0 a 8 años;Alta / Media Alta;Trabaja;Segundo grado, segundo ciclo;10 con toda seguridad, iría a votar;Más País (Equo, Compromís, CHA);Más País (Equo, Compromís, CHA);PSOE (Partido Socialista Obrero Español);4;Menos de 60 años;Me es indiferente;Con experiencia laboral en el sector público;Con una carrera profesional fuera de la política;Yolanda Díaz;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Santiago Abascal;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Alberto Núñez Feijóo
83;Mujer;55-64;Badajoz;Menos de 10.000;Sí, con uno/a de 9 a 12 años;Media;Trabaja;Segundo grado, segundo ciclo;8;No lo sé;Ninguno;PSOE (Partido Socialista Obrero Español);6;Me es indiferente;De clase media-baja o baja;Me es indiferente;Me es indiferente;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Yolanda Díaz;Alberto Núñez Feijóo;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Santiago Abascal;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Pedro Sánchez;Alberto Núñez Feijóo
84;Mujer;45-54;Barcelona;Menos de 10.000;Sí, con uno/a de 13 a 17 años;Media baja / Baja;Trabaja;Segundo grado, segundo ciclo;8;Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…);Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…);Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En;3;Menos de 60 años;Me es indiferente;Con experiencia laboral en el sector público;Con una carrera profesional fuera de la política;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz
85;Mujer;35-44;Madrid;Más de 10.000;No convivo con ningún/a hijo/a;Media baja / Baja;Trabaja;Segundo grado, segundo ciclo;10 con toda seguridad, iría a votar;Vox;Vox;Vox;8;Menos de 60 años;De clase media-alta o alta;Con experiencia laboral en el sector privado;Con una carrera profesional fuera de la política;Santiago Abascal;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal
86;Mujer;55-64;Barcelona;Más de 10.000;Sí, con uno/a de 18 años o más;Alta / Media Alta;Parado;Segundo grado, segundo ciclo;10 con toda seguridad, iría a votar;JxCAT - Junts;JxCAT - Junts;JxCAT – Junts;0 extrema izquierda;Menos de 60 años;De clase media-baja o baja;Me es indiferente;Con una carrera profesional dentro de la política;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Santiago Abascal;Yolanda Díaz;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz
87;Hombre;65+;Alicante/Alacant;Más de 10.000;Sí, con uno/a de 18 años o más;Alta / Media Alta;Pensionista;Segundo grado, segundo ciclo;10 con toda seguridad, iría a votar;PP (Partido Popular);PP (Partido Popular);PP (Partido Popular);5;Me es indiferente;De clase media-baja o baja;Con experiencia laboral en el sector privado;Con una carrera profesional fuera de la política;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo
88;Mujer;45-54;Tarragona;Más de 10.000;Sí, con uno/a de 18 años o más;Alta / Media Alta;Trabaja;Tercer grado, segundo ciclo y más;9;ERC - Sobiranistes;ERC - Sobiranistes;ERC - Sobiranistes;3;Más de 60 años;De clase media-alta o alta;Con experiencia laboral en el sector público;Con una carrera profesional fuera de la política;Pedro Sánchez;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez
89;Hombre;65+;Navarra;Menos de 10.000;No convivo con ningún/a hijo/a;Media;Pensionista;Tercer grado, segundo ciclo y más;10 con toda seguridad, iría a votar;Ciudadanos;Ciudadanos;Navarra suma (UPN, PP, Ciudadanos);6;Más de 60 años;Me es indiferente;Me es indiferente;Con una carrera profesional fuera de la política;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal;Pedro Sánchez;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo
90;Hombre;35-44;Cantabria;Más de 10.000;Sí, con uno/a de 0 a 8 años;Alta / Media Alta;Trabaja;Tercer grado, segundo ciclo y más;1;No votaré;Ninguno;No voté;5;Me es indiferente;Me es indiferente;Me es indiferente;Con una carrera profesional fuera de la política;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Yolanda Díaz;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Santiago Abascal;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz
91;Mujer;45-54;Alicante/Alacant;Más de 10.000;Sí, con uno/a de 13 a 17 años;Media baja / Baja;Parado;Tercer grado, primer ciclo;0 con toda seguridad, NO iría a votar;No votaré;Ninguno;No voté;No lo sé;Menos de 60 años;Me es indiferente;Me es indiferente;Con una carrera profesional dentro de la política;Yolanda Díaz;Pedro Sánchez;Alberto Núñez Feijóo;Yolanda Díaz;Santiago Abascal;Yolanda Díaz;Santiago Abascal;Pedro Sánchez;Yolanda Díaz;Santiago Abascal;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Yolanda Díaz;Santiago Abascal;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo
92;Hombre;65+;Rioja, La;Más de 10.000;No convivo con ningún/a hijo/a;Media;Pensionista;Segundo grado, segundo ciclo;10 con toda seguridad, iría a votar;PP (Partido Popular);PP (Partido Popular);PP (Partido Popular);7;Menos de 60 años;De clase media-alta o alta;Me es indiferente;Me es indiferente;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Alberto Núñez Feijóo
93;Hombre;25-34;Sevilla;Más de 10.000;No convivo con ningún/a hijo/a;Alta / Media Alta;Trabaja;Tercer grado, segundo ciclo y más;6;Vox;Vox;No voté;7;Me es indiferente;Me es indiferente;Me es indiferente;Me es indiferente;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal
94;Hombre;55-64;Cádiz;Menos de 10.000;Sí, con uno/a de 18 años o más;Media baja / Baja;Pensionista;Segundo grado, primer ciclo y menos;10 con toda seguridad, iría a votar;Prefiero no contestar;PSOE (Partido Socialista Obrero Español);Prefiero no contestar;5;Me es indiferente;De clase media-baja o baja;Me es indiferente;Con una carrera profesional dentro de la política;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Yolanda Díaz;Pedro Sánchez;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Alberto Núñez Feijóo;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo
95;Mujer;18-24;Barcelona;Más de 10.000;No convivo con ningún/a hijo/a;Alta / Media Alta;Trabaja;Tercer grado, primer ciclo;8;Vox;Vox;PSOE (Partido Socialista Obrero Español);9;Menos de 60 años;Me es indiferente;Me es indiferente;Me es indiferente;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Yolanda Díaz;Santiago Abascal
96;Mujer;65+;Asturias;Más de 10.000;No convivo con ningún/a hijo/a;Media;Pensionista;Tercer grado, segundo ciclo y más;10 con toda seguridad, iría a votar;Vox;Vox;Vox;7;Me es indiferente;Me es indiferente;Con experiencia laboral en el sector privado;Con una carrera profesional fuera de la política;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo
97;Mujer;45-54;Zaragoza;Menos de 10.000;Sí, con uno/a de 18 años o más;Media baja / Baja;Parado;Segundo grado, segundo ciclo;No lo sé;PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);4;Me es indiferente;Me es indiferente;Me es indiferente;Me es indiferente;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez
98;Mujer;25-34;Valencia/València;Más de 10.000;No convivo con ningún/a hijo/a;Alta / Media Alta;Trabaja;Tercer grado, segundo ciclo y más;0 con toda seguridad, NO iría a votar;PACMA (Partido Animalista Contra el Maltrato Animal);PACMA (Partido Animalista Contra el Maltrato Animal);PACMA (Partido Animalista Contra el Maltrato Animal);No lo sé;Me es indiferente;Me es indiferente;Me es indiferente;Me es indiferente;Yolanda Díaz;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Yolanda Díaz;Santiago Abascal;Alberto Núñez Feijóo;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Yolanda Díaz
99;Mujer;25-34;Huelva;Más de 10.000;Sí, con uno/a de 13 a 17 años;Alta / Media Alta;Trabaja;Tercer grado, primer ciclo;10 con toda seguridad, iría a votar;Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…);Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…);PSOE (Partido Socialista Obrero Español);3;Me es indiferente;Me es indiferente;Me es indiferente;Me es indiferente;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez
100;Mujer;65+;Valencia/València;Más de 10.000;Sí, con uno/a de 18 años o más;Media;Trabajo del hogar no remunerado;Segundo grado, segundo ciclo;5;PP (Partido Popular);PP (Partido Popular);No voté;10 extrema derecha;Me es indiferente;Me es indiferente;Con experiencia laboral en el sector público;Con una carrera profesional dentro de la política;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Alberto Núñez Feijóo;Pedro Sánchez;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz
